Total: 865 schools missing logo files
Out of 831 unique schools
Academy of Art|Academy_of_Art.svg
Miami (OH)-Middletown|Miami_OH_Middletown.svg
Michigan-Dearborn|Michigan_Dearborn.svg
Mid-America Christian|Mid_America_Christian.svg
Mid-Atlantic Christian|Mid_Atlantic_Christian.svg
Mid-Continent University|Mid_Continent_University.svg
Middle Georgia State|Middle_Georgia_State.svg
Midland University|Midland_University.svg
Midway University|Midway_University.svg
Milligan|Milligan.svg
Milwaukee School Of Engineering|Milwaukee_School_Of_Engineering.svg
Minnesota A&M|Minnesota_A_M.svg
Minnesota Crookston|Minnesota_Crookston.svg
Minnesota Duluth|Minnesota_Duluth.svg
Minnesota Morris|Minnesota_Morris.svg
Minot State|Minot_State.svg
Mississippi University For Women|Mississippi_University_For_Women.svg
Missouri Southern State|Missouri_Southern_State.svg
Missouri State|Missouri_State.svg
Missouri Valley|Missouri_Valley.svg
Mitchell College|Mitchell_College.svg
Mobile|Mobile.svg
Molloy|Molloy.svg
Monmouth (IL)|Monmouth_IL.svg
Montana State|Montana_State.svg
Montana State-Northern|Montana_State_Northern.svg
Montana Tech|Montana_Tech.svg
Montana-Western|Montana_Western.svg
Monterrey Tech|Monterrey_Tech.svg
Montevallo|Montevallo.svg
Montreat|Montreat.svg
Morris Brown|Morris_Brown.svg
Morris Brown|Morris_Brown.svg
Morris College|Morris_College.svg
Mount Aloysius|Mount_Aloysius.svg
Mount Ida|Mount_Ida.svg
Mount Marty College|Mount_Marty_College.svg
Mount Olive|Mount_Olive.svg
Mount Saint Mary (NY)|Mount_Saint_Mary_NY.svg
Mount Saint Vincent|Mount_Saint_Vincent.svg
Mount Union|Mount_Union.svg
Mount Vernon Nazarene (OH)|Mount_Vernon_Nazarene_OH.svg
Mountain State University|Mountain_State_University.svg
Multnomah University|Multnomah_University.svg
NVU-Lyndon|NVU_Lyndon.svg
NYU Poly|NYU_Poly.svg
Navajo Tech|Navajo_Tech.svg
Nazareth College|Nazareth_College.svg
Nebraska Christian|Nebraska_Christian.svg
Nebraska-Kearney|Nebraska_Kearney.svg
Nelson|Nelson.svg
Neumann|Neumann.svg
New College (FL)|New_College_FL.svg
New Hope Christian College|New_Hope_Christian_College.svg
New York City Tech|New_York_City_Tech.svg
New York Institute Of Technology|New_York_Institute_Of_Technology.svg
New York University|New_York_University.svg
Newbury College|Newbury_College.svg
Newman University|Newman_University.svg
Nichols College|Nichols_College.svg
Nobel|Nobel.svg
North American|North_American.svg
North Central (IL)|North_Central_IL.svg
North Central (MN)|North_Central_MN.svg
North Georgia|North_Georgia.svg
Northeastern State|Northeastern_State.svg
Northern New Mexico|Northern_New_Mexico.svg
Northland|Northland.svg
Northwest Indian|Northwest_Indian.svg
Northwest Nazarene|Northwest_Nazarene.svg
Northwest University|Northwest_University.svg
Northwestern Oklahoma State|Northwestern_Oklahoma_State.svg
Northwestern State|Northwestern_State.svg
Northwood (FL)|Northwood_FL.svg
Northwood (MI)|Northwood_MI.svg
Northwood University|Northwood_University.svg
Notre Dame (Md)|Notre_Dame_Md.svg
Notre Dame de Namur|Notre_Dame_de_Namur.svg
Nova Southeastern|Nova_Southeastern.svg
Oak Hills Christian|Oak_Hills_Christian.svg
Oakland City|Oakland_City.svg
Oakwood|Oakwood.svg
Oberlin|Oberlin.svg
Oberlin|Oberlin.svg
Occidental|Occidental.svg
Oglethorpe|Oglethorpe.svg
